Date,Time,Year,Month,Day,DOW,DOW.Name,MaxT,MeanT,MinT,RH,AH,ph,sh,pm25,pm10,o3,no2,so2,co,Rain
1/1/2009,1,2009,1,1,3,Thursday,31.86,27,23.8,84.62,21.72593962,1,0,9.902778,16.88889,17.41667,19.94032,8.651736,0.3625695,36
2/1/2009,2,2009,1,2,4,Friday,30.16,26.5,23.3,83.16,20.76820104,0,0,7.252778,14.14649,14.99097,16.78574,4.833234,0.34125,0
3/1/2009,3,2009,1,3,5,Saturday,29.72,26.32,23.82,83.28,20.59139868,0,0,7.763889,14.06481,18.58819,15.87235,4.362268,0.32125,0
4/1/2009,4,2009,1,4,6,Sunday,29.8,26.38,24.18,84.58,20.9826163,0,0,6.0625,11.22685,24.2375,12.40012,4.000082,0.2877778,1.5
5/1/2009,5,2009,1,5,0,Monday,31.8,27.06,23.96,80.34,20.69558401,0,0,10.52222,21.87558,23.85972,15.77877,4.238773,0.3342361,0.2
6/1/2009,6,2009,1,6,1,Tuesday,32.12,27.74,24.5,75.76,20.26064406,0,0,10.66806,23.54167,30.05,13.4654,4.067311,0.3746528,0
7/1/2009,7,2009,1,7,2,Wednesday,31.66,27.48,24.5,77.16,20.3421034,0,0,10.69444,24.31018,23.72083,12.36838,2.939236,0.34125,0
8/1/2009,8,2009,1,8,3,Thursday,30.54,27.08,24.46,76.36,19.69211251,0,0,13.02083,31.96296,26.54722,12.16982,2.261905,0.3651389,0
9/1/2009,9,2009,1,9,4,Friday,30.54,26.96,24.62,75.82,19.4236671,0,0,14.85417,35.33738,28.45972,12.59962,2.112285,0.3505556,0
10/1/2009,10,2009,1,10,5,Saturday,30.74,26.8,24.08,75.12,19.07481046,0,0,21.125,43.43982,40.74166,13.54539,2.0959,0.4275,0
11/1/2009,11,2009,1,11,6,Sunday,30.34,26.18,23.42,79.74,19.56333587,0,0,22.74306,39.30093,45.45278,12.33393,2.893023,0.5093055,0
12/1/2009,12,2009,1,12,0,Monday,30.66,26.6,23.68,77.54,19.47239848,0,0,23.58333,43.08102,47.08333,13.80583,2.980308,0.4801389,0
13/1/2009,13,2009,1,13,1,Tuesday,30.08,26.48,24.38,79.72,19.88705973,0,0,15.38194,34.15501,36.40208,11.21944,2.783218,0.3686806,0.3
14/1/2009,14,2009,1,14,2,Wednesday,30.96,26.9,24.32,72.9,18.61380263,0,0,16.95833,41.44907,45.09028,9.104001,2.69661,0.280625,0
15/1/2009,15,2009,1,15,3,Thursday,31.18,26.58,23.62,75.6,18.96419547,0,0,17.63194,39.08333,38.51944,13.86587,2.346974,0.325,0
16/1/2009,16,2009,1,16,4,Friday,30.32,26.24,23.06,76.1,18.73271909,0,0,16.79861,37.35012,39.51944,12.86332,3.014057,0.2780555,0
17/1/2009,17,2009,1,17,5,Saturday,31.2,26.78,23.02,72.04,18.27251674,0,0,13.91667,33.89699,36.94583,12.30854,2.991677,0.254375,0
18/1/2009,18,2009,1,18,6,Sunday,31.16,26.64,23.4,74.86,18.84112244,0,0,12.9375,30.08854,34.24306,9.818981,2.924853,0.2408333,0
19/1/2009,19,2009,1,19,0,Monday,31.46,26.48,22.78,74.76,18.64977878,0,0,14.52778,29.48438,33.38264,12.73927,3.240194,0.2890972,0
20/1/2009,20,2009,1,20,1,Tuesday,31.8,26.74,22.72,74.84,18.94070535,0,0,15.51389,30.70775,32.40972,13.62329,3.187742,0.3015972,0
21/1/2009,21,2009,1,21,2,Wednesday,32.1,26.96,22.86,73.38,18.79860903,0,0,17.35,30.90857,43.29445,13.72683,3.35051,0.2854167,0
22/1/2009,22,2009,1,22,3,Thursday,32.66,27.22,22.36,76.38,19.85004699,0,0,10.55972,21.11458,23.67222,14.7277,6.451538,0.3083333,0
23/1/2009,23,2009,1,23,4,Friday,33.18,27.66,23.34,77.42,20.61374279,0,0,10.38889,20.36111,17.75069,11.5189,6.335101,0.3053472,0
24/1/2009,24,2009,1,24,5,Saturday,32.46,27.6,24.04,80.28,21.30481308,0,0,10.47222,20.18518,18.39792,10.72847,4.415393,0.3383333,0
25/1/2009,25,2009,1,25,6,Sunday,29.34,26.8,24.58,85.1,21.60887059,0,0,10.27083,19.19444,20.85556,7.922917,3.987897,0.3520833,0.3
26/1/2009,26,2009,1,26,0,Monday,30.8,26.66,23.96,81.42,20.51482598,1,0,11.01806,22.30936,26.09167,9.203125,3.620118,0.3379167,0
27/1/2009,27,2009,1,27,1,Tuesday,31.4,26.84,23.26,76.42,19.44789403,1,0,14,28.54167,30.3125,11.27712,4.377946,0.3659722,0
28/1/2009,28,2009,1,28,2,Wednesday,33.06,27.32,23.12,74.14,19.37445617,0,0,13.34722,25.875,30.8875,13.14387,5.983965,0.31875,0
29/1/2009,29,2009,1,29,3,Thursday,31.14,26.92,23.84,74.76,19.10982424,0,0,13.35417,25.98611,32.17361,12.12572,3.754051,0.3440278,0
30/1/2009,30,2009,1,30,4,Friday,32.24,27.22,24.32,75.22,19.54859176,0,0,17.325,29.38831,39.55695,15.61055,5.260074,0.3914583,0
